iter	RMSE
0	0.8514773303
1	0.8383673606
2	0.8258483949
3	0.8136603415
4	0.801480217
5	0.7896214253
6	0.7779869769
7	0.7669292949
8	0.7563733719
9	0.7455190343
10	0.7352081272
11	0.7250114632
12	0.7147667595
13	0.705194863
14	0.6959516859
15	0.6865685204
16	0.6775885521
17	0.6687468532
18	0.6600519512
19	0.6512943663
20	0.6434159051
21	0.6351221497
22	0.6272602033
23	0.6196329701
24	0.6119375718
25	0.6047395051
26	0.597456165
27	0.5902948428
28	0.5834172308
29	0.5766768145
30	0.5701358662
31	0.5635663468
32	0.5573478222
33	0.5515408346
34	0.5456035854
35	0.5397989114
36	0.5341717611
37	0.5286284612
38	0.5232701809
39	0.5177649997
40	0.5124757614
41	0.5075353439
42	0.5026721574
43	0.4978297762
44	0.4931246907
45	0.4885515778
46	0.4841075364
47	0.4796744887
48	0.475722413
49	0.4715091307
50	0.4675547998
51	0.4637142054
52	0.4598489859
53	0.4561670626
54	0.4522765631
55	0.4486017753
56	0.4449255573
57	0.4415667268
58	0.4383695664
59	0.4351664948
60	0.4319611404
61	0.4290563961
62	0.4259609371
63	0.4230146233
64	0.4200207306
65	0.4172739913
66	0.4145747936
67	0.412006276
68	0.4092114488
69	0.4067519361
70	0.4043896895
71	0.4019704324
72	0.3995797678
73	0.3974233364
74	0.3952152873
75	0.3930784727
76	0.3909461326
77	0.3889031423
78	0.3869422349
79	0.3849800895
80	0.3831920558
81	0.3813627029
82	0.3795319386
83	0.3777815034
84	0.376045253
85	0.3743816311
86	0.3726778729
87	0.3712421655
88	0.3697889809
89	0.3683627899
90	0.3668716564
91	0.3654077605
92	0.364055618
93	0.3626403683
94	0.3613581827
95	0.3599325279
96	0.3586855833
97	0.357475089
98	0.3563134315
99	0.3550578522
100	0.3539593483
101	0.3529047067
102	0.3518250261
103	0.3507427011
104	0.3496805467
105	0.3486982969
106	0.3476809959
107	0.3467072503
108	0.3457901348
109	0.3448859457
110	0.3440676478
111	0.3432074729
112	0.3422983963
113	0.3414630521
114	0.3406508764
115	0.3397447838
116	0.3388737686
117	0.3380640954
118	0.3372205469
119	0.3365073535
120	0.3356994366
121	0.3349866296
122	0.3342531614
123	0.3335956355
124	0.3329794139
125	0.3323528807
126	0.3317333495
127	0.3311061152
128	0.3304857159
129	0.3297904208
130	0.3292019991
131	0.3286310505
132	0.3280181038
133	0.3274640577
134	0.3269232607
135	0.3262872447
136	0.3257919284
137	0.3252999194
138	0.3247245365
139	0.3242251588
140	0.3237406267
141	0.3232791495
142	0.3227599491
143	0.3221785506
144	0.3218032265
145	0.3213204786
146	0.3208609194
147	0.3203754914
148	0.3199427938
149	0.3195006035
150	0.3190870362
151	0.3186834235
152	0.3182402544
153	0.3178905527
154	0.3174570393
155	0.3170554498
156	0.3166989982
157	0.3163474928
158	0.3160209526
159	0.3156819962
160	0.3152805838
161	0.3149578961
162	0.314591767
163	0.3141857139
164	0.3138474616
165	0.3135257423
166	0.3131098542
167	0.3128568432
168	0.3125176484
169	0.3122141877
170	0.3119052392
171	0.3116372632
172	0.3113789185
173	0.3110587827
174	0.3107917378
175	0.3104304551
176	0.3101290929
177	0.3099091444
178	0.3096211111
179	0.3093717451
180	0.3091029006
181	0.3088683606
182	0.3086136548
183	0.3083393563
184	0.3080787935
185	0.307798687
186	0.3075952921
187	0.307380137
188	0.3071038005
189	0.3067344856
190	0.3064873457
191	0.3062281881
192	0.3060553187
193	0.3058508678
194	0.3055644008
195	0.3053634015
196	0.3050305839
197	0.304855563
198	0.3046065903
199	0.3044132336
200	0.3042311072
201	0.3039827048
202	0.3037786007
203	0.3034489642
204	0.3031633361
205	0.3030142779
206	0.3026706224
207	0.302469992
208	0.3021836118
209	0.3019209628
210	0.3016434242
211	0.3014719955
212	0.3013099383
213	0.3009817324
214	0.3008320522
215	0.300682998
216	0.3005261394
217	0.3003733012
218	0.3001714845
219	0.2998584091
220	0.299670113
221	0.2994895049
222	0.2993132629
223	0.2990954632
224	0.2989280953
225	0.2987190565
226	0.2985527263
227	0.298380848
228	0.2981932475
229	0.298042486
230	0.2977845825
231	0.2976132357
232	0.2974751846
233	0.2973442913
234	0.2971284691
235	0.2970229274
236	0.296853677
237	0.296731391
238	0.2965690549
239	0.2964323051
240	0.2962818564
241	0.2961214918
242	0.2960006352
243	0.295875154
244	0.2957131115
245	0.2955992808
246	0.2953183516
247	0.2951607875
248	0.2950373573
249	0.2948188852
250	0.2946001469
251	0.2943868103
252	0.2942608949
253	0.2941809938
254	0.2940553036
255	0.2939037362
256	0.2936964301
257	0.2935940817
258	0.2934960452
259	0.2933709676
260	0.2932422892
261	0.2931614346
262	0.2930298776
263	0.2928691795
264	0.2927267279
265	0.2925032499
266	0.2924279159
267	0.2921647897
268	0.2920986128
269	0.2919066151
270	0.2918326635
271	0.2916389622
272	0.2915161265
273	0.2914275413
274	0.2913158582
275	0.2911776139
276	0.2910496317
277	0.2908091629
278	0.2905117116
279	0.2903989464
280	0.2902227683
281	0.2901285576
282	0.2899459929
283	0.2897745188
284	0.2896371636
285	0.2894797067
286	0.2892956366
287	0.2891566162
288	0.2890807712
289	0.2888913159
290	0.2886936587
291	0.2885028391
292	0.288306761
293	0.2881262927
294	0.2879918364
295	0.2878672042
296	0.2877679307
297	0.2876366859
298	0.2875718133
299	0.2874396182
300	0.2873443409
301	0.2871810351
302	0.2870589221
303	0.2869225625
304	0.2867990551
305	0.2867183555
306	0.2866020071
307	0.286506712
308	0.2864370277
309	0.2863554834
310	0.2862048648
311	0.2861443326
312	0.2861374084
313	0.2860418047
314	0.2859452448
315	0.285832333
316	0.2857142089
317	0.285587341
318	0.2855101354
319	0.2853336086
320	0.2851726757
321	0.2850787968
322	0.2849899671
323	0.2848377094
324	0.2847940767
325	0.284588286
326	0.2844746479
327	0.284407175
328	0.2842656432
329	0.284157947
330	0.2840700622
331	0.2838831479
332	0.2837682606
333	0.2837340793
334	0.28366638
335	0.2836544383
336	0.2835671408
337	0.2835556203
338	0.2834784159
339	0.283343568
340	0.2832399286
341	0.2830364056
342	0.2830342883
343	0.2829121576
344	0.2827809354
345	0.2825946137
346	0.2825413945
347	0.2824326008
348	0.2823253222
349	0.2821795918
350	0.2820160925
351	0.2818776738
352	0.2817618933
353	0.2816821217
354	0.2815507787
355	0.2814581637
356	0.2814530233
357	0.2813323399
358	0.2812753911
359	0.2811582647
360	0.2810045256
361	0.2809013737
362	0.280800332
363	0.2807231494
364	0.2805400354
365	0.2804740571
366	0.2802967197
367	0.2802012896
368	0.2800500469
369	0.2798649923
370	0.2798387481
371	0.2796585261
372	0.2795638594
373	0.2794667737
374	0.2793967095
375	0.2793404675
376	0.2792614615
377	0.2791935888
378	0.2790726471
379	0.2789015276
380	0.2788219886
381	0.2786916286
382	0.2785882325
383	0.278422345
384	0.2783413427
385	0.2782702611
386	0.2781917694
387	0.2781197262
388	0.2780235427
389	0.2779541928
390	0.2778978357
391	0.2778221727
392	0.2777425074
393	0.2776522748
394	0.2775600886
395	0.2774692963
396	0.2773541976
397	0.2773034021
398	0.2771489766
399	0.2769714731
400	0.2768147093
401	0.2767346533
402	0.2766684418
403	0.2764794471
404	0.2763890386
405	0.2762031028
406	0.2761236699
407	0.2759220279
408	0.2757804547
409	0.2756786133
410	0.2755283541
411	0.2754687566
412	0.2753590886
413	0.2753571686
414	0.2752875805
415	0.2751811564
416	0.2750395992
417	0.2749732942
418	0.2748674575
419	0.2747278797
420	0.2746428952
421	0.2745739519
422	0.2744366039
423	0.2743938611
424	0.2742671227
425	0.2741918962
426	0.2740884942
427	0.2739961934
428	0.2738673765
429	0.2737174387
430	0.2735756814
431	0.2734220638
432	0.273360758
433	0.2731646374
434	0.2731137066
435	0.2729821603
436	0.2729008493
437	0.2728236574
438	0.2726841181
439	0.2726364628
440	0.2725628533
441	0.2724911517
442	0.2724105038
443	0.2722562261
444	0.2721877781
445	0.2721348893
446	0.2720721663
447	0.2719134251
448	0.2717803994
449	0.2716955042
450	0.2715458584
451	0.2715426214
452	0.2715057665
453	0.2714458687
454	0.2712459501
455	0.2711362081
456	0.2711179085
457	0.2709234384
458	0.2708166691
459	0.270747209
460	0.2706060334
461	0.2705216431
462	0.2704226768
463	0.2703780958
464	0.2703072003
465	0.2701824474
466	0.2701014676
467	0.2699436637
468	0.2699001644
469	0.2697196932
470	0.2696565133
471	0.2695862476
472	0.2695247246
473	0.2694784937
474	0.2694288166
475	0.26934944
476	0.2692451688
477	0.2691793127
478	0.269104334
479	0.2690346574
480	0.2689571843
481	0.2688831383
482	0.2687373957
483	0.2686819373
484	0.2686397244
485	0.2685366185
486	0.2684002373
487	0.2683083362
488	0.2682539513
489	0.2681997378
490	0.2681106477
491	0.2680126729
492	0.2679481762
493	0.2679040417
494	0.2678635527
495	0.2677933623
496	0.2676800797
497	0.2675749799
498	0.267399961
499	0.267233272
500	0.2671776351
501	0.2670711056
502	0.2669843021
503	0.2669012437
504	0.2668374371
505	0.2667424429
506	0.2666903189
507	0.266530025
508	0.2664526335
509	0.2663582603
510	0.2662557427
511	0.2661714434
512	0.2660359586
513	0.2659645258
514	0.2659180297
515	0.2658344951
516	0.26567567
517	0.2656216556
518	0.2655509785
519	0.2654751016
520	0.2653387641
521	0.2652573475
522	0.265218591
523	0.2650945333
524	0.265026226
525	0.2649048953
526	0.2648575859
527	0.2647941253
528	0.2646979569
529	0.2646506101
530	0.2645972391
531	0.2645603493
532	0.2645159361
533	0.2644002994
534	0.2643015232
535	0.264205771
536	0.2641376726
537	0.2640755099
538	0.2640200312
539	0.2639105825
540	0.2638811559
541	0.2638224519
542	0.263757299
543	0.2636588991
544	0.2636035836
545	0.2635341607
546	0.2634890526
547	0.2634424055
548	0.2633666339
549	0.2631923239
550	0.2631536494
551	0.2630852491
552	0.2629909291
553	0.2629277926
554	0.262871769
555	0.2627990647
556	0.2626933565
557	0.2625960786
558	0.262540304
559	0.2624442354
560	0.2623687632
561	0.2622659856
562	0.262219865
563	0.2621111647
564	0.2620486796
565	0.2619882382
566	0.2619320796
567	0.261884646
568	0.2617942577
569	0.2616862836
570	0.2616031108
571	0.2615584244
572	0.2614317669
573	0.2613180679
574	0.261270459
575	0.2612044087
576	0.2611380556
577	0.2610904218
578	0.2610618422
579	0.2610043862
580	0.2609751336
581	0.2609332986
582	0.2608638376
583	0.2608491686
584	0.2608231195
585	0.2607802987
586	0.2607390774
587	0.2606865513
588	0.2606360163
589	0.2605684222
590	0.2605012257
591	0.2604350429
592	0.2603793509
593	0.2603200812
594	0.2602718955
595	0.2602153116
596	0.2601636287
597	0.2601075608
598	0.2600674312
599	0.2599717592
600	0.2599033943
601	0.259823713
602	0.259756654
603	0.2597090682
604	0.2596194029
605	0.2595251557
606	0.259466884
607	0.2594021851
608	0.2593338434
609	0.2592975853
610	0.2592408134
611	0.2591904205
612	0.2591514603
613	0.2590847134
614	0.2589855435
615	0.258921267
616	0.258841447
617	0.2586850424
618	0.2585680616
619	0.2585049089
620	0.258392472
621	0.2583277096
622	0.2582717753
623	0.2582030764
624	0.2581702547
625	0.2580812562
626	0.2580251442
627	0.2579411087
628	0.2578453398
629	0.2577991653
630	0.2577335194
631	0.2576852218
632	0.2576445909
633	0.2575647237
634	0.257481308
635	0.2573503976
636	0.2572975021
637	0.2572157587
638	0.2571803543
639	0.2571492426
640	0.2570767736
641	0.2570012712
642	0.2569647153
643	0.2569302585
644	0.2568841358
645	0.2568284339
646	0.2567178744
647	0.2566807463
648	0.256649497
649	0.2566033275
650	0.2565385643
651	0.2564802873
652	0.2563900212
653	0.2562818443
654	0.2561969899
655	0.2561548865
656	0.2561014335
657	0.2559990435
658	0.2559464419
659	0.2558090639
660	0.2557492421
661	0.2556615874
662	0.2556330611
663	0.255541279
664	0.2554830386
665	0.255404483
666	0.2552985495
667	0.2552571365
668	0.2551770305
669	0.2551215903
