iter	Passed	Remaining
0	66	109705
1	75	62099
2	82	45231
3	87	35920
4	96	31833
5	103	28392
6	110	26034
7	117	24106
8	124	22770
9	131	21608
10	137	20528
11	144	19770
12	152	19173
13	159	18592
14	166	18098
15	173	17684
16	176	16941
17	183	16671
18	190	16356
19	197	16081
20	203	15784
21	209	15538
22	217	15369
23	224	15182
24	230	14963
25	236	14801
26	243	14632
27	249	14460
28	256	14321
29	263	14202
30	269	14074
31	276	13976
32	283	13869
33	285	13584
34	292	13491
35	298	13381
36	305	13305
37	311	13225
38	318	13148
39	324	13053
40	331	13000
41	338	12946
42	348	13011
43	354	12955
44	361	12888
45	367	12808
46	373	12750
47	380	12699
48	387	12659
49	394	12621
50	401	12582
51	408	12545
52	415	12510
53	422	12479
54	429	12456
55	436	12430
56	444	12410
57	450	12362
58	456	12318
59	464	12302
60	471	12288
61	478	12253
62	484	12210
63	491	12178
64	498	12144
65	504	12117
66	512	12104
67	518	12071
68	526	12056
69	533	12036
70	540	12024
71	547	11997
72	554	11975
73	562	11987
74	570	11982
75	578	11989
76	586	11973
77	594	11975
78	602	11985
79	612	12023
80	620	12028
81	629	12037
82	638	12050
83	646	12055
84	654	12055
85	663	12075
86	673	12094
87	682	12116
88	691	12125
89	700	12148
90	718	12309
91	727	12324
92	737	12348
93	747	12375
94	755	12368
95	765	12397
96	774	12401
97	783	12414
98	792	12423
99	801	12430
100	811	12438
101	819	12436
102	828	12439
103	836	12431
104	844	12425
105	853	12431
106	861	12428
107	869	12415
108	877	12404
109	884	12383
110	893	12382
111	900	12368
112	907	12343
113	915	12329
114	922	12307
115	929	12289
116	936	12266
117	942	12242
118	950	12223
119	957	12207
120	964	12187
121	972	12183
122	980	12172
123	987	12158
124	995	12144
125	1002	12125
126	1009	12111
127	1017	12093
128	1024	12083
129	1032	12066
130	1038	12044
131	1045	12027
132	1052	12008
133	1059	11985
134	1066	11969
135	1098	12232
136	1116	12329
137	1125	12326
138	1134	12328
139	1143	12332
140	1151	12328
141	1161	12332
142	1168	12310
143	1176	12302
144	1184	12293
145	1191	12271
146	1200	12272
147	1207	12254
148	1215	12241
149	1222	12226
150	1230	12213
151	1237	12194
152	1244	12176
153	1251	12162
154	1259	12146
155	1267	12137
156	1274	12121
157	1282	12106
158	1289	12092
159	1297	12082
160	1305	12077
161	1313	12067
162	1321	12056
163	1329	12044
164	1336	12029
165	1344	12016
166	1351	12000
167	1359	11995
168	1368	11991
169	1376	11985
170	1383	11968
171	1391	11954
172	1399	11947
173	1405	11926
174	1413	11911
175	1422	11912
176	1430	11900
177	1437	11884
178	1444	11867
179	1450	11848
180	1458	11835
181	1464	11816
182	1472	11802
183	1479	11785
184	1486	11769
185	1493	11755
186	1501	11743
187	1508	11733
188	1516	11724
189	1524	11714
190	1531	11699
191	1538	11683
192	1545	11668
193	1552	11653
194	1560	11640
195	1567	11629
196	1574	11616
197	1582	11607
198	1590	11597
199	1598	11586
200	1604	11569
201	1612	11557
202	1619	11547
203	1627	11533
204	1634	11522
205	1641	11509
206	1649	11499
207	1656	11484
208	1664	11477
209	1671	11462
210	1678	11444
211	1686	11437
212	1693	11425
213	1701	11414
214	1708	11401
215	1715	11388
216	1722	11373
217	1730	11365
218	1736	11347
219	1744	11339
220	1752	11329
221	1759	11317
222	1767	11308
223	1774	11295
224	1782	11289
225	1789	11278
226	1796	11263
227	1803	11251
228	1810	11236
229	1818	11226
230	1824	11210
231	1831	11194
232	1841	11200
233	1850	11194
234	1857	11181
235	1865	11177
236	1873	11172
237	1882	11165
238	1890	11159
239	1897	11147
240	1905	11138
241	1913	11130
242	1920	11120
243	1928	11109
244	1934	11095
245	1941	11083
246	1949	11072
247	1956	11061
248	1963	11048
249	1970	11034
250	1977	11021
251	1984	11008
252	1991	10998
253	1999	10989
254	2006	10976
255	2012	10960
256	2020	10950
257	2027	10936
258	2034	10923
259	2040	10908
260	2047	10897
261	2054	10886
262	2061	10872
263	2068	10859
264	2075	10848
265	2082	10836
266	2089	10821
267	2096	10812
268	2103	10800
269	2110	10788
270	2118	10779
271	2125	10766
272	2132	10755
273	2139	10746
274	2146	10730
275	2152	10716
276	2159	10703
277	2166	10691
278	2173	10678
279	2181	10673
280	2188	10664
281	2196	10655
282	2203	10642
283	2210	10632
284	2217	10621
285	2224	10610
286	2231	10598
287	2239	10590
288	2245	10574
289	2252	10563
290	2259	10551
291	2266	10541
292	2272	10526
293	2278	10509
294	2285	10499
295	2293	10489
296	2300	10479
297	2307	10468
298	2315	10460
299	2321	10448
300	2328	10436
301	2335	10424
302	2342	10412
303	2349	10401
304	2356	10390
305	2363	10380
306	2370	10369
307	2376	10355
308	2383	10345
309	2390	10332
310	2397	10324
311	2405	10314
312	2406	10279
313	2413	10269
314	2419	10255
315	2426	10245
316	2434	10235
317	2441	10225
318	2448	10215
319	2455	10204
320	2462	10193
321	2468	10182
322	2476	10173
323	2482	10161
324	2490	10153
325	2497	10144
326	2504	10131
327	2511	10123
328	2518	10110
329	2524	10098
330	2532	10090
331	2538	10078
332	2545	10066
333	2552	10055
334	2559	10045
335	2560	10013
336	2567	10002
337	2569	9975
338	2575	9961
339	2582	9948
340	2588	9937
341	2595	9928
342	2596	9895
343	2603	9884
344	2610	9872
345	2616	9861
346	2624	9853
347	2631	9844
348	2637	9832
349	2644	9822
350	2650	9810
351	2657	9799
352	2663	9787
353	2670	9776
354	2677	9767
355	2684	9758
356	2686	9728
357	2693	9720
358	2700	9711
359	2707	9702
360	2714	9692
361	2721	9682
362	2728	9674
363	2735	9663
364	2741	9653
365	2748	9643
366	2755	9633
367	2762	9624
368	2769	9614
369	2776	9606
370	2779	9583
371	2786	9573
372	2793	9564
373	2800	9554
374	2807	9545
375	2814	9537
376	2822	9530
377	2829	9522
378	2837	9514
379	2845	9508
380	2853	9503
381	2860	9496
382	2868	9490
383	2877	9486
384	2884	9476
385	2890	9466
386	2897	9456
387	2904	9446
388	2911	9436
389	2918	9427
390	2926	9422
391	2932	9411
392	2940	9404
393	2947	9394
394	2954	9387
395	2960	9376
396	2968	9370
397	2976	9363
398	2984	9358
399	2993	9353
400	3000	9345
401	3006	9333
402	3013	9324
403	3020	9314
404	3026	9303
405	3032	9292
406	3039	9281
407	3045	9270
408	3052	9263
409	3060	9254
410	3067	9246
411	3073	9235
412	3081	9228
413	3082	9203
414	3089	9194
415	3096	9185
416	3103	9177
417	3110	9167
418	3117	9159
419	3124	9150
420	3131	9140
421	3137	9130
422	3145	9124
423	3152	9115
424	3159	9106
425	3166	9099
426	3174	9091
427	3181	9083
428	3188	9075
429	3195	9067
430	3202	9058
431	3209	9050
432	3216	9040
433	3223	9032
434	3230	9023
435	3237	9015
436	3244	9005
437	3250	8995
438	3257	8986
439	3264	8976
440	3271	8967
441	3278	8960
442	3285	8952
443	3292	8943
444	3298	8932
445	3305	8923
446	3313	8916
447	3319	8906
448	3326	8897
449	3333	8889
450	3340	8880
451	3341	8857
452	3348	8849
453	3356	8841
454	3363	8833
455	3369	8822
456	3373	8806
457	3380	8798
458	3388	8791
459	3395	8783
460	3402	8776
461	3409	8766
462	3416	8758
463	3424	8752
464	3431	8744
465	3438	8735
466	3445	8727
467	3452	8718
468	3458	8709
469	3465	8700
470	3472	8692
471	3479	8684
472	3487	8677
473	3493	8668
474	3501	8661
475	3509	8654
476	3515	8645
477	3522	8637
478	3529	8629
479	3537	8622
480	3544	8614
481	3551	8605
482	3557	8595
483	3564	8588
484	3572	8580
485	3579	8572
486	3586	8565
487	3593	8557
488	3600	8548
489	3608	8542
490	3615	8534
491	3622	8526
492	3629	8518
493	3636	8510
494	3644	8503
495	3651	8495
496	3657	8486
497	3664	8476
498	3671	8469
499	3678	8459
500	3685	8451
501	3691	8442
502	3698	8433
503	3705	8425
504	3711	8414
505	3717	8405
506	3725	8397
507	3732	8390
508	3738	8379
509	3744	8370
510	3751	8362
511	3759	8356
512	3766	8348
513	3773	8340
514	3781	8332
515	3788	8325
516	3795	8317
517	3802	8310
518	3809	8302
519	3816	8292
520	3824	8288
521	3833	8282
522	3840	8276
523	3849	8271
524	3857	8265
525	3865	8260
526	3872	8251
527	3879	8244
528	3886	8236
529	3893	8228
530	3900	8220
531	3907	8211
532	3915	8205
533	3921	8195
534	3928	8188
535	3935	8180
536	3942	8171
537	3949	8162
538	3956	8155
539	3963	8146
540	3969	8137
541	3977	8130
542	3984	8122
543	3990	8113
544	3998	8107
545	4005	8099
546	4012	8091
547	4020	8085
548	4028	8079
549	4037	8074
550	4044	8066
551	4051	8058
552	4058	8051
553	4065	8042
554	4073	8036
555	4080	8028
556	4088	8021
557	4095	8014
558	4102	8007
559	4110	8000
560	4117	7991
561	4124	7984
562	4131	7977
563	4139	7970
564	4145	7961
565	4153	7953
566	4160	7946
567	4167	7939
568	4175	7931
569	4182	7924
570	4189	7917
571	4197	7909
572	4204	7902
573	4211	7894
574	4217	7884
575	4224	7876
576	4231	7868
577	4238	7861
578	4246	7854
579	4252	7845
580	4260	7839
581	4267	7831
582	4275	7824
583	4279	7811
584	4286	7804
585	4294	7797
586	4301	7790
587	4308	7781
588	4315	7773
589	4323	7767
590	4330	7760
591	4338	7753
592	4345	7745
593	4353	7738
594	4359	7730
595	4367	7723
596	4374	7715
597	4381	7708
598	4389	7701
599	4396	7693
600	4403	7686
601	4410	7678
602	4417	7670
603	4425	7663
604	4432	7655
605	4439	7648
606	4447	7641
607	4454	7633
608	4461	7625
609	4468	7618
610	4476	7611
611	4483	7603
612	4490	7596
613	4497	7588
614	4504	7580
615	4511	7573
616	4519	7565
617	4525	7557
618	4532	7548
619	4539	7541
620	4546	7533
621	4553	7525
622	4560	7517
623	4566	7508
624	4574	7501
625	4581	7494
626	4588	7485
627	4595	7478
628	4602	7470
629	4609	7463
630	4617	7456
631	4623	7446
632	4630	7439
633	4638	7432
634	4645	7425
635	4651	7416
636	4658	7408
637	4665	7400
638	4672	7392
639	4679	7384
640	4686	7377
641	4694	7370
642	4702	7363
643	4709	7356
644	4716	7349
645	4723	7341
646	4731	7334
647	4738	7326
648	4745	7319
649	4751	7310
650	4759	7303
651	4766	7296
652	4773	7287
653	4779	7279
654	4786	7271
655	4794	7265
656	4801	7256
657	4809	7250
658	4817	7244
659	4825	7238
660	4834	7232
661	4841	7225
662	4849	7220
663	4858	7214
664	4865	7207
665	4872	7199
666	4879	7191
667	4887	7184
668	4894	7176
669	4901	7169
670	4908	7162
671	4915	7153
672	4922	7146
673	4930	7139
674	4936	7131
675	4944	7124
676	4951	7116
677	4957	7107
678	4965	7101
679	4973	7094
680	4980	7087
681	4988	7079
682	4995	7072
683	5002	7064
684	5009	7056
685	5015	7048
686	5023	7041
687	5029	7033
688	5036	7024
689	5042	7016
690	5050	7009
691	5057	7001
692	5065	6994
693	5072	6988
694	5081	6982
695	5089	6975
696	5097	6970
697	5105	6964
698	5113	6956
699	5119	6948
700	5127	6941
701	5134	6933
702	5141	6925
703	5148	6918
704	5155	6910
705	5161	6901
706	5169	6894
